id,name,category,scale,license,url,rag_role,default_policy,priority,notes
math,MATH / competition_math,problem_solution,"12,500 problems (7,500 train / 5,000 test)",MIT (dataset card; review paper legal-compliance appendix),https://huggingface.co/datasets/jeggers/competition_math,TRAIN split: candidate problem-solution corpus,INDEX_TRAIN_ONLY,A,Keep test split out of clean RAG evaluation.
numinamath_cot,NuminaMath-CoT,olympiad_reasoning,"~859,608 problem-solution pairs; ~1.23 GB",Apache-2.0 in current dataset metadata; provenance should still be retained,https://huggingface.co/datasets/AI-MO/NuminaMath-CoT,High-value olympiad/high-school CoT corpus,INDEX_FILTERED_TRAIN,A,"Contains olympiads, AMC/AIME, MATH, synthetic and forum-derived material. Deduplicate against benchmarks."
openmathinstruct2,OpenMathInstruct-2,synthetic_math_reasoning,14M generated problem-solution pairs; ~12.6 GB,CC-BY-4.0,https://huggingface.co/datasets/nvidia/OpenMathInstruct-2,Large synthetic reasoning corpus; useful for strategy diversity and training,INDEX_SAMPLED_FILTERED,A,Very large. Start with source-balanced 250k-1M sample; retain attribution metadata.
lean_workbook,Lean Workbook / Lean Workbook Plus,formal_math,"57,231 + 82,893 formalized contest-level problems",Apache-2.0,https://huggingface.co/datasets/internlm/Lean-Workbook,Natural statement + answer + formal statement/proof; theorem-condition verification,INDEX_NON_BENCHMARK,A,Excellent bridge between informal olympiad math and Lean 4.
proofnet,ProofNet,formal_math,Natural-language + formal theorem/proof pairs,MIT,https://github.com/zhangir-azerbayev/ProofNet,Proof structure and autoformalization corpus,INDEX_TRAIN_VALID; HOLDOUT_TEST,A,Keep test split separate if evaluating autoformalization/theorem proving.
proofnet_verified,ProofNet-Verified,formal_benchmark,367 audited Lean 4 theorem files + paired informal/formal statements,Apache-2.0,https://github.com/marcusm117/ProofNet-Verified,Verified theorem conditions and error taxonomy,BENCHMARK_BY_DEFAULT,A,Use for evaluation/error taxonomy unless a separate training split is explicitly defined.
naturalproofs,NaturalProofs,reference_retrieval,"ProofWiki, Stacks, real-analysis and number-theory theorem/reference corpora",Repository/data source terms vary; retain source-level provenance and verify before redistribution,https://github.com/wellecks/naturalproofs,Train/evaluate theorem-reference retrieval,INDEX_AFTER_LICENSE_AUDIT,A,Especially useful for learning retrieval rather than only generation.
leandojo,LeanDojo / LeanDojo-v2 Benchmark,formal_retrieval,Theorems/proofs/premises extracted from mathlib,LeanDojo code MIT; retain mathlib/source licensing metadata,https://github.com/lean-dojo/LeanDojo-v2,"Premise retrieval, proof-state/tactic data, retrieval-augmented proving",INDEX_WITH_PROVENANCE,A,Very relevant to learned retrieval gate and formal critic.
deepseek_prover_v1,DeepSeek-Prover-V1 Synthetic Dataset,formal_synthetic,~27.5k Lean theorem/proof rows,DeepSeek dataset/model license,https://huggingface.co/datasets/deepseek-ai/DeepSeek-Prover-V1,Synthetic Lean proof corpus,OPTIONAL_LICENSE_REVIEW,B,Good formal proof augmentation; do not assume MIT just because code repo is MIT.
minif2f,miniF2F v2,formal_benchmark,488 olympiad/high-school/undergraduate statements,"Permissive by formal system: Lean/Isabelle Apache-2.0, Metamath MIT, HOL Light FreeBSD",https://github.com/facebookresearch/miniF2F,Formal olympiad benchmark,BENCHMARK_ONLY,A,Do not index test statements/solutions in clean theorem-proving evaluation.
fimo,FIMO,formal_imo_benchmark,149 IMO shortlisted formal problem statements with informal descriptions/proofs,Verify repository license before redistribution,https://github.com/liuchengwucn/FIMO,IMO-level formal theorem-proving benchmark,BENCHMARK_ONLY,A,High-value hard benchmark.
formal_imo,Google DeepMind formal-IMO,formal_imo_benchmark,Lean formalizations of IMO statements,Software Apache-2.0; other materials CC-BY-4.0,https://github.com/google-deepmind/formal-imo,IMO formal statement benchmark,BENCHMARK_ONLY,A,Keep as clean holdout for formal reasoning.
putnambench,PutnamBench,formal_benchmark,"1,724 manually-crafted formalizations across Lean 4 / Isabelle / Coq",Lean/Isabelle Apache-2.0; Coq MIT; informal statements available with MAA permission,https://github.com/trishullab/PutnamBench,Hard undergraduate competition benchmark,BENCHMARK_ONLY,A,"Covers algebra, analysis, number theory, geometry, linear algebra, combinatorics and more."
olympiadbench,OlympiadBench,olympiad_benchmark,"8,476 bilingual multimodal math+physics problems",Repository MIT; retain per-item/source metadata for underlying content,https://github.com/OpenBMB/OlympiadBench,Primary external olympiad benchmark,BENCHMARK_ONLY,A,Do not index benchmark data in clean evaluation.
omnimath,Omni-MATH,olympiad_benchmark,"4,428 competition-level math problems; 33+ subdomains; 10+ difficulty levels",Verify dataset/repository terms before redistribution,https://github.com/KbsdJames/Omni-MATH,Hard olympiad benchmark,BENCHMARK_ONLY,A,"Use as benchmark, not RAG corpus."
openwebmath,OpenWebMath,math_web_text,~6.3M documents; ~27.4 GB,ODC-By 1.0 + CommonCrawl ToU; underlying content retains original licenses,https://huggingface.co/datasets/open-web-math/open-web-math,Broad mathematical background text,OPTIONAL_FILTERED_WITH_PROVENANCE,B,Not olympiad-specific. Only use filtered subsets with source/provenance retained.
